symbol,t0,checkpoint_time,settlement_time,entry_time,entry_price,direction,trade_dir,atr_entry,risk_distance,c,c_z,checkpoint_premium,premium_at_entry,exit_time,exit_price,exit_reason,hold_bars,gross_R,net_R
BTCUSDT,2022-01-21 00:00:00+00:00,2022-01-21 07:00:00+00:00,2022-01-21 08:00:00+00:00,2022-01-21 08:00:00+00:00,39106.43,-1,-1,297.35885335435455,297.35885335435455,0.001653840514698364,2.381320650783029,-0.00057017,-0.00077154,2022-01-21 08:15:00+00:00,39129.76,premium_reversion,1,-0.07845739158874147,-0.26257500363359654
BTCUSDT,2022-02-02 16:00:00+00:00,2022-02-02 23:00:00+00:00,2022-02-03 00:00:00+00:00,2022-02-03 00:00:00+00:00,36892.05,-1,-1,218.48785255780078,218.48785255780078,0.0012833194798263418,2.0963800468477296,-0.00047306,5.213e-05,2022-02-03 00:30:00+00:00,36877.06,premium_reversion,2,0.06860793323070283,-0.16778447666923124
BTCUSDT,2022-02-07 00:00:00+00:00,2022-02-07 07:00:00+00:00,2022-02-07 08:00:00+00:00,2022-02-07 08:00:00+00:00,42712.79,-1,-1,178.30019604674533,178.30019604674533,0.001368188989039302,2.019094230668314,-0.00027699,-7.424e-05,2022-02-07 08:15:00+00:00,42480.999745139234,take_profit_r,1,1.29999999999999,0.964622320525523
BTCUSDT,2022-02-24 08:00:00+00:00,2022-02-24 15:00:00+00:00,2022-02-24 16:00:00+00:00,2022-02-24 16:00:00+00:00,35892.2,1,1,390.60648203822194,390.60648203822194,-0.0018781392522823773,-3.071724936027981,-0.00087864,-0.00071422,2022-02-24 16:15:00+00:00,36103.9,premium_reversion,1,0.5419776929848515,0.41333394970185355
BTCUSDT,2022-03-06 08:00:00+00:00,2022-03-06 15:00:00+00:00,2022-03-06 16:00:00+00:00,2022-03-06 16:00:00+00:00,38845.0,-1,-1,205.58045443823963,205.58045443823963,0.001012705616461042,2.0760034625168373,-0.00054346,-0.00057113,2022-03-06 16:15:00+00:00,39050.58045443824,stop_loss,1,-1.000000000000006,-1.2645339030337581
BTCUSDT,2022-03-10 00:00:00+00:00,2022-03-10 07:00:00+00:00,2022-03-10 08:00:00+00:00,2022-03-10 08:00:00+00:00,39220.0,1,1,262.37601339016413,262.37601339016413,-0.0014869112437642317,-2.732086138734471,-0.00078602,-0.0007304,2022-03-10 08:15:00+00:00,38957.62398660983,stop_loss,1,-1.0000000000000107,-1.2092721788494907
BTCUSDT,2022-03-20 08:00:00+00:00,2022-03-20 15:00:00+00:00,2022-03-20 16:00:00+00:00,2022-03-20 16:00:00+00:00,41334.2,1,1,147.7856110069406,147.7856110069406,-0.0012465280525784583,-2.427891615908278,-0.00013167,-0.00026943,2022-03-20 16:15:00+00:00,41410.0,premium_reversion,1,0.5129051433596132,0.12133874115228138
BTCUSDT,2022-03-21 16:00:00+00:00,2022-03-21 23:00:00+00:00,2022-03-22 00:00:00+00:00,2022-03-22 00:00:00+00:00,40982.0,1,1,141.85548401100667,141.85548401100667,-0.0013116624968922302,-2.5013584605798314,-0.00048799,-0.00028052,2022-03-22 00:30:00+00:00,41021.1,premium_reversion,2,0.27563262902803776,-0.12882688411667964
BTCUSDT,2022-03-25 08:00:00+00:00,2022-03-25 15:00:00+00:00,2022-03-25 16:00:00+00:00,2022-03-25 16:00:00+00:00,44320.2,-1,-1,214.7613186102339,214.7613186102339,0.0015261182286256327,3.0246869325156647,-0.00020257,-0.00015798,2022-03-25 16:15:00+00:00,44534.96131861023,stop_loss,1,-0.9999999999999897,-1.2889173916491359
BTCUSDT,2022-03-28 00:00:00+00:00,2022-03-28 07:00:00+00:00,2022-03-28 08:00:00+00:00,2022-03-28 08:00:00+00:00,46984.5,-1,-1,164.7676989171833,164.7676989171833,0.0011739745412928525,2.1726134115203233,2.395e-05,-0.00025245,2022-03-28 09:00:00+00:00,47008.8,premium_reversion,4,-0.1474803627148835,-0.5466987801127131
