z_window,k,h,raw_cp,gated_is,gated_oos,gated_full
60,0.3,3.0,280,78,79,157
60,0.3,4.0,150,39,51,90
60,0.3,5.0,82,24,30,54
60,0.3,6.0,51,16,18,34
60,0.3,8.0,18,4,5,9
60,0.5,3.0,180,48,57,105
60,0.5,4.0,95,30,31,61
60,0.5,5.0,55,18,17,35
60,0.5,6.0,28,6,9,15
60,0.5,8.0,13,2,5,7
60,0.7,3.0,133,34,40,74
60,0.7,4.0,64,18,20,38
60,0.7,5.0,33,8,11,19
60,0.7,6.0,22,3,7,10
60,0.7,8.0,4,0,2,2
60,1.0,3.0,86,25,24,49
60,1.0,4.0,40,10,14,24
60,1.0,5.0,22,3,7,10
60,1.0,6.0,15,1,5,6
60,1.0,8.0,3,0,2,2
90,0.3,3.0,237,65,69,134
90,0.3,4.0,137,35,46,81
90,0.3,5.0,79,22,29,51
90,0.3,6.0,45,14,13,27
90,0.3,8.0,18,5,5,10
90,0.5,3.0,164,45,51,96
90,0.5,4.0,85,25,26,51
90,0.5,5.0,45,12,14,26
90,0.5,6.0,27,6,8,14
90,0.5,8.0,10,2,4,6
90,0.7,3.0,116,33,36,69
90,0.7,4.0,62,19,18,37
90,0.7,5.0,31,8,8,16
90,0.7,6.0,17,2,5,7
90,0.7,8.0,6,2,2,4
90,1.0,3.0,69,20,18,38
90,1.0,4.0,35,8,9,17
90,1.0,5.0,19,3,5,8
90,1.0,6.0,15,2,5,7
90,1.0,8.0,2,0,2,2
120,0.3,3.0,212,58,62,120
120,0.3,4.0,118,32,35,67
120,0.3,5.0,68,20,22,42
120,0.3,6.0,41,13,11,24
120,0.3,8.0,15,5,4,9
120,0.5,3.0,143,39,43,82
120,0.5,4.0,81,24,25,49
120,0.5,5.0,41,13,11,24
120,0.5,6.0,26,9,4,13
120,0.5,8.0,7,3,2,5
120,0.7,3.0,99,28,31,59
120,0.7,4.0,53,18,14,32
120,0.7,5.0,29,10,4,14
120,0.7,6.0,13,3,3,6
120,0.7,8.0,5,2,2,4
120,1.0,3.0,66,21,17,38
120,1.0,4.0,32,10,6,16
120,1.0,5.0,19,5,3,8
120,1.0,6.0,8,2,3,5
120,1.0,8.0,2,0,2,2
