n_oos,oos_net_pf,oos_net_t,n_is,is_net_pf,stop_mult,trail_mult,max_hold
14,0.28531142807196147,-2.0600819405086668,12,2.1374232145209624,1.1,1.8,20
14,0.28531142807196147,-2.0600819405086668,12,2.1374232145209624,1.1,1.8,30
14,0.28531142807196147,-2.0600819405086668,12,2.1374232145209624,1.1,1.8,45
14,0.2677375229621067,-2.423255874010605,12,0.7187649562357151,1.1,2.5,20
14,0.2087433554519168,-2.9627282897186484,12,0.7269884531201557,1.1,2.5,30
14,0.2087433554519168,-2.9627282897186484,12,0.7269884531201557,1.1,2.5,45
14,0.3665389657555948,-1.7812695106988128,12,0.9879374289992894,1.1,3.2,20
14,0.8716945175993519,-0.16065293980220285,12,0.8099334256760682,1.1,3.2,30
13,0.6595494080846364,-0.5391132434376247,12,0.7259649156791477,1.1,3.2,45
14,0.24947225620866745,-2.2529050274561473,12,2.1374232145209624,1.5,1.8,20
14,0.24947225620866745,-2.2529050274561473,12,2.1374232145209624,1.5,1.8,30
14,0.24947225620866745,-2.2529050274561473,12,2.1374232145209624,1.5,1.8,45
14,0.2145838167303691,-2.8508179540089182,12,0.6339023925183348,1.5,2.5,20
14,0.1673017118945858,-3.354480731151599,12,0.6411549641757158,1.5,2.5,30
14,0.1673017118945858,-3.354480731151599,12,0.6411549641757158,1.5,2.5,45
14,0.28102099497112093,-2.2993922305140133,12,0.884235909273438,1.5,3.2,20
14,0.6683176511443029,-0.5165772852748265,12,0.689253717953231,1.5,3.2,30
13,0.5076292410825937,-0.9446725448903333,12,0.6177964773064943,1.5,3.2,45
14,0.24240410802208395,-2.2836443655910186,12,2.1374232145209624,2.0,1.8,20
14,0.24240410802208395,-2.2836443655910186,12,2.1374232145209624,2.0,1.8,30
14,0.24240410802208395,-2.2836443655910186,12,2.1374232145209624,2.0,1.8,45
13,0.2931348954540103,-2.1599610657319315,12,0.6109694582772482,2.0,2.5,20
13,0.2474186218910668,-2.459356643833225,12,0.6179596508193892,2.0,2.5,30
13,0.2474186218910668,-2.459356643833225,12,0.6179596508193892,2.0,2.5,45
13,0.3237475076512715,-1.983075330106597,12,0.7661967077376058,2.0,3.2,20
13,0.6630326031486765,-0.5588547632064399,12,0.6011914504402854,2.0,3.2,30
12,0.540298939945476,-0.887016614913574,12,0.5388639199099573,2.0,3.2,45
