n_oos,oos_net_pf,oos_net_t,n_is,is_net_pf,z_window,k,h
65,0.7991224515044913,-0.7481872022814651,69,1.0910769449506303,60,0.3,3.0
29,0.7729552098241513,-0.45802933780491056,23,1.0915901065889313,60,0.3,5.0
5,1.7074597192471863,0.3594046000454586,4,0.5216788797163489,60,0.3,8.0
51,0.7236347031834571,-0.9879257453787176,45,0.8283250287057944,60,0.5,3.0
16,0.702341044003749,-0.45254848994080454,18,0.9615881076243156,60,0.5,5.0
5,3.3881293934990144,0.7749722828974619,2,0.015785811616835933,60,0.5,8.0
37,0.6394209220471253,-1.068049161685508,32,0.9589649017290167,60,0.7,3.0
10,1.2679590109883612,0.23322967164203928,8,0.7673078454167908,60,0.7,5.0
2,0.0,-4.395145514696227,0,,60,0.7,8.0
23,0.49238594376970585,-1.528265733725955,24,0.6639472926532775,60,1.0,3.0
7,1.7645334804367572,0.42906674255808325,3,0.6362322521315463,60,1.0,5.0
2,0.0,-4.395145514696227,0,,60,1.0,8.0
57,0.8910111886147057,-0.3616003422646916,57,1.1679259080864464,90,0.3,3.0
27,0.6631091129845876,-0.7251265735308177,20,1.1145078409054283,90,0.3,5.0
5,0.0,-5.693457457010013,5,1.0634766227597625,90,0.3,8.0
45,0.873905871711637,-0.37289848361220207,41,1.1905507839646368,90,0.5,3.0
14,0.1673017118945858,-3.354480731151599,12,0.6411549641757158,90,0.5,5.0
4,0.717501156720592,-0.259717222030808,2,0.8759832781704635,90,0.5,8.0
32,0.7179735262125859,-0.7397326243876282,32,0.9554691678688203,90,0.7,3.0
8,0.17325631722500504,-2.246576699330756,8,0.40390925274956097,90,0.7,5.0
2,0.0,-4.395145514696227,2,0.021151528621131073,90,0.7,8.0
18,0.6408255366676665,-0.8077863027587165,20,0.561167036493569,90,1.0,3.0
5,0.0,-5.324006166324249,3,0.6677697506732633,90,1.0,5.0
2,0.0,-4.395145514696227,0,,90,1.0,8.0
49,0.6918275545962169,-1.110953527132775,51,1.2393200987270534,120,0.3,3.0
21,0.1272278033887596,-4.197320866707412,18,1.151139183419274,120,0.3,5.0
4,0.0,-4.659748649110512,5,1.4917110522456103,120,0.3,8.0
39,0.7323739271716162,-0.8452016294405922,34,0.8826990977947883,120,0.5,3.0
11,0.1305800315039668,-2.9925037655513393,12,1.194232378306895,120,0.5,5.0
2,0.0,-4.395145514696227,3,0.3711392160204994,120,0.5,8.0
29,0.553963436350454,-1.3788941245191253,26,0.9332636027722848,120,0.7,3.0
4,0.0,-3.158903470434648,10,0.8663632509378822,120,0.7,5.0
2,0.0,-4.395145514696227,2,0.0,120,0.7,8.0
17,0.5532840984546117,-1.0369786621959898,21,0.891565711369041,120,1.0,3.0
3,0.0,-3.3145919336786096,5,0.2865280076008476,120,1.0,5.0
2,0.0,-4.395145514696227,0,,120,1.0,8.0
