cp_bar,cp_time,cp_type,confirm_bar,confirm_time,entry_bar,entry_time,atr_entry
1197,2022-07-19 12:00:00+00:00,up,1197,2022-07-19 12:00:00+00:00,1198,2022-07-19 16:00:00+00:00,697.4002883277444
1658,2022-10-04 08:00:00+00:00,up,1658,2022-10-04 08:00:00+00:00,1659,2022-10-04 12:00:00+00:00,300.7874665185086
1870,2022-11-08 16:00:00+00:00,down,1870,2022-11-08 16:00:00+00:00,1871,2022-11-08 20:00:00+00:00,575.5653445487583
2361,2023-01-29 12:00:00+00:00,up,2361,2023-01-29 12:00:00+00:00,2362,2023-01-29 16:00:00+00:00,307.39367412680315
2597,2023-03-09 20:00:00+00:00,down,2597,2023-03-09 20:00:00+00:00,2598,2023-03-10 00:00:00+00:00,339.40239839592437
2624,2023-03-14 08:00:00+00:00,up,2624,2023-03-14 08:00:00+00:00,2625,2023-03-14 12:00:00+00:00,627.4794674480614
2642,2023-03-17 08:00:00+00:00,up,2642,2023-03-17 08:00:00+00:00,2643,2023-03-17 12:00:00+00:00,714.8842256864315
2788,2023-04-10 16:00:00+00:00,up,2788,2023-04-10 16:00:00+00:00,2789,2023-04-10 20:00:00+00:00,302.594877087314
2884,2023-04-26 16:00:00+00:00,down,2884,2023-04-26 16:00:00+00:00,2885,2023-04-26 20:00:00+00:00,590.724087833534
3511,2023-08-09 04:00:00+00:00,up,3511,2023-08-09 04:00:00+00:00,3512,2023-08-09 08:00:00+00:00,238.84714211094328
3563,2023-08-17 20:00:00+00:00,down,3563,2023-08-17 20:00:00+00:00,3564,2023-08-18 00:00:00+00:00,463.7098803818183
3752,2023-09-18 08:00:00+00:00,up,3752,2023-09-18 08:00:00+00:00,3753,2023-09-18 12:00:00+00:00,240.00298945625642
6948,2025-03-04 00:00:00+00:00,down,6948,2025-03-04 00:00:00+00:00,6949,2025-03-04 04:00:00+00:00,2621.6868928472613
7072,2025-03-24 16:00:00+00:00,up,7072,2025-03-24 16:00:00+00:00,7073,2025-03-24 20:00:00+00:00,909.8259937378638
7807,2025-07-25 04:00:00+00:00,up,7807,2025-07-25 04:00:00+00:00,7808,2025-07-25 08:00:00+00:00,1417.8690114665076
7908,2025-08-11 00:00:00+00:00,up,7908,2025-08-11 00:00:00+00:00,7909,2025-08-11 04:00:00+00:00,1130.9188910460152
8091,2025-09-10 12:00:00+00:00,up,8091,2025-09-10 12:00:00+00:00,8092,2025-09-10 16:00:00+00:00,1009.3688116051837
8266,2025-10-09 16:00:00+00:00,up,8266,2025-10-09 16:00:00+00:00,8267,2025-10-09 20:00:00+00:00,1534.7150867952103
8273,2025-10-10 20:00:00+00:00,down,8273,2025-10-10 20:00:00+00:00,8274,2025-10-11 00:00:00+00:00,2704.5008815134897
8950,2026-01-31 16:00:00+00:00,down,8950,2026-01-31 16:00:00+00:00,8951,2026-01-31 20:00:00+00:00,1788.9870379150225
8982,2026-02-06 00:00:00+00:00,down,8982,2026-02-06 00:00:00+00:00,8983,2026-02-06 04:00:00+00:00,2511.1535305012744
9130,2026-03-02 16:00:00+00:00,up,9130,2026-03-02 16:00:00+00:00,9131,2026-03-02 20:00:00+00:00,1576.78447438966
9140,2026-03-04 08:00:00+00:00,up,9140,2026-03-04 08:00:00+00:00,9141,2026-03-04 12:00:00+00:00,1634.993832127196
9405,2026-04-17 12:00:00+00:00,up,9405,2026-04-17 12:00:00+00:00,9406,2026-04-17 16:00:00+00:00,1091.0522158500844
9435,2026-04-22 12:00:00+00:00,up,9435,2026-04-22 12:00:00+00:00,9436,2026-04-22 16:00:00+00:00,1058.78238711724
9513,2026-05-05 12:00:00+00:00,up,9513,2026-05-05 12:00:00+00:00,9514,2026-05-05 16:00:00+00:00,891.1401126266437
