cp_bar,cp_time,cp_type,confirm_bar,confirm_time,entry_bar,entry_time,atr_entry
18,2022-01-04 00:00:00+00:00,down,18,2022-01-04 00:00:00+00:00,19,2022-01-04 04:00:00+00:00,713.7649532608899
185,2022-01-31 20:00:00+00:00,up,185,2022-01-31 20:00:00+00:00,186,2022-02-01 00:00:00+00:00,792.7350009977495
199,2022-02-03 04:00:00+00:00,down,199,2022-02-03 04:00:00+00:00,200,2022-02-03 08:00:00+00:00,703.3301378760531
208,2022-02-04 16:00:00+00:00,up,208,2022-02-04 16:00:00+00:00,209,2022-02-04 20:00:00+00:00,894.2593084408182
288,2022-02-18 00:00:00+00:00,down,288,2022-02-18 00:00:00+00:00,289,2022-02-18 04:00:00+00:00,862.1728913725983
353,2022-02-28 20:00:00+00:00,up,353,2022-02-28 20:00:00+00:00,354,2022-03-01 00:00:00+00:00,1312.1407900987422
381,2022-03-05 12:00:00+00:00,down,381,2022-03-05 12:00:00+00:00,382,2022-03-05 16:00:00+00:00,955.0101680581279
406,2022-03-09 16:00:00+00:00,up,406,2022-03-09 16:00:00+00:00,407,2022-03-09 20:00:00+00:00,1027.8251406821607
411,2022-03-10 12:00:00+00:00,down,411,2022-03-10 12:00:00+00:00,412,2022-03-10 16:00:00+00:00,1130.7967882788826
448,2022-03-16 16:00:00+00:00,up,448,2022-03-16 16:00:00+00:00,449,2022-03-16 20:00:00+00:00,1031.5797852018022
573,2022-04-06 12:00:00+00:00,down,573,2022-04-06 12:00:00+00:00,574,2022-04-06 16:00:00+00:00,778.4398106064635
660,2022-04-21 00:00:00+00:00,up,660,2022-04-21 00:00:00+00:00,661,2022-04-21 04:00:00+00:00,631.5307141395361
669,2022-04-22 12:00:00+00:00,down,669,2022-04-22 12:00:00+00:00,670,2022-04-22 16:00:00+00:00,759.5808866577593
746,2022-05-05 08:00:00+00:00,up,746,2022-05-05 08:00:00+00:00,747,2022-05-05 12:00:00+00:00,564.1342674977508
747,2022-05-05 12:00:00+00:00,down,747,2022-05-05 12:00:00+00:00,748,2022-05-05 16:00:00+00:00,810.6175341050543
896,2022-05-30 08:00:00+00:00,up,896,2022-05-30 08:00:00+00:00,897,2022-05-30 12:00:00+00:00,477.3898130721414
924,2022-06-04 00:00:00+00:00,down,924,2022-06-04 00:00:00+00:00,925,2022-06-04 04:00:00+00:00,513.7502752352272
937,2022-06-06 04:00:00+00:00,up,937,2022-06-06 04:00:00+00:00,938,2022-06-06 08:00:00+00:00,464.99656566051215
962,2022-06-10 08:00:00+00:00,down,962,2022-06-10 08:00:00+00:00,963,2022-06-10 12:00:00+00:00,554.4024258661586
