cp_bar,cp_time,cp_type,confirm_bar,confirm_time,entry_bar,entry_time,atr_entry
938,2022-06-06 08:00:00+00:00,up,938,2022-06-06 08:00:00+00:00,939,2022-06-06 12:00:00+00:00,455.5968109704754
947,2022-06-07 20:00:00+00:00,up,947,2022-06-07 20:00:00+00:00,948,2022-06-08 00:00:00+00:00,684.9857472641116
994,2022-06-15 16:00:00+00:00,down,994,2022-06-15 16:00:00+00:00,995,2022-06-15 20:00:00+00:00,1137.873468059642
1013,2022-06-18 20:00:00+00:00,down,1013,2022-06-18 20:00:00+00:00,1014,2022-06-19 00:00:00+00:00,943.5688538408011
1059,2022-06-26 12:00:00+00:00,down,1059,2022-06-26 12:00:00+00:00,1060,2022-06-26 16:00:00+00:00,512.5879359970902
1079,2022-06-29 20:00:00+00:00,down,1079,2022-06-29 20:00:00+00:00,1080,2022-06-30 00:00:00+00:00,409.13179842009964
1085,2022-06-30 20:00:00+00:00,down,1085,2022-06-30 20:00:00+00:00,1086,2022-07-01 00:00:00+00:00,514.8641198873771
1125,2022-07-07 12:00:00+00:00,up,1125,2022-07-07 12:00:00+00:00,1126,2022-07-07 16:00:00+00:00,436.51054668635027
1156,2022-07-12 16:00:00+00:00,down,1156,2022-07-12 16:00:00+00:00,1157,2022-07-12 20:00:00+00:00,428.93088184765566
1183,2022-07-17 04:00:00+00:00,up,1183,2022-07-17 04:00:00+00:00,1184,2022-07-17 08:00:00+00:00,442.813527739917
1189,2022-07-18 04:00:00+00:00,up,1189,2022-07-18 04:00:00+00:00,1190,2022-07-18 08:00:00+00:00,503.0567089680934
1197,2022-07-19 12:00:00+00:00,up,1197,2022-07-19 12:00:00+00:00,1198,2022-07-19 16:00:00+00:00,697.4002883277444
1235,2022-07-25 20:00:00+00:00,down,1236,2022-07-26 00:00:00+00:00,1237,2022-07-26 04:00:00+00:00,510.609792383017
1263,2022-07-30 12:00:00+00:00,up,1263,2022-07-30 12:00:00+00:00,1264,2022-07-30 16:00:00+00:00,521.8601318117802
1286,2022-08-03 08:00:00+00:00,up,1286,2022-08-03 08:00:00+00:00,1287,2022-08-03 12:00:00+00:00,446.7090691266941
1315,2022-08-08 04:00:00+00:00,up,1315,2022-08-08 04:00:00+00:00,1316,2022-08-08 08:00:00+00:00,320.87654746090817
1333,2022-08-11 04:00:00+00:00,up,1333,2022-08-11 04:00:00+00:00,1334,2022-08-11 08:00:00+00:00,433.5263659673184
1452,2022-08-31 00:00:00+00:00,down,1452,2022-08-31 00:00:00+00:00,1453,2022-08-31 04:00:00+00:00,376.2021204513638
1480,2022-09-04 16:00:00+00:00,down,1480,2022-09-04 16:00:00+00:00,1481,2022-09-04 20:00:00+00:00,275.30184209597775
1485,2022-09-05 12:00:00+00:00,down,1485,2022-09-05 12:00:00+00:00,1486,2022-09-05 16:00:00+00:00,261.6259015167451
1499,2022-09-07 20:00:00+00:00,down,1499,2022-09-07 20:00:00+00:00,1500,2022-09-08 00:00:00+00:00,328.7881914603913
1582,2022-09-21 16:00:00+00:00,down,1582,2022-09-21 16:00:00+00:00,1583,2022-09-21 20:00:00+00:00,502.7980743920299
1595,2022-09-23 20:00:00+00:00,down,1595,2022-09-23 20:00:00+00:00,1596,2022-09-24 00:00:00+00:00,476.1004659658079
1635,2022-09-30 12:00:00+00:00,up,1635,2022-09-30 12:00:00+00:00,1636,2022-09-30 16:00:00+00:00,453.97705865159037
1657,2022-10-04 04:00:00+00:00,up,1657,2022-10-04 04:00:00+00:00,1658,2022-10-04 08:00:00+00:00,296.7018870199325
1785,2022-10-25 12:00:00+00:00,up,1785,2022-10-25 12:00:00+00:00,1786,2022-10-25 16:00:00+00:00,187.9831351811379
1845,2022-11-04 12:00:00+00:00,up,1845,2022-11-04 12:00:00+00:00,1846,2022-11-04 16:00:00+00:00,276.12824383237194
1870,2022-11-08 16:00:00+00:00,down,1870,2022-11-08 16:00:00+00:00,1871,2022-11-08 20:00:00+00:00,575.5653445487583
1883,2022-11-10 20:00:00+00:00,down,1883,2022-11-10 20:00:00+00:00,1884,2022-11-11 00:00:00+00:00,797.7488630230613
2025,2022-12-04 12:00:00+00:00,up,2025,2022-12-04 12:00:00+00:00,2026,2022-12-04 16:00:00+00:00,149.88413027135317
2078,2022-12-13 08:00:00+00:00,up,2078,2022-12-13 08:00:00+00:00,2079,2022-12-13 12:00:00+00:00,130.64845709770128
2117,2022-12-19 20:00:00+00:00,down,2117,2022-12-19 20:00:00+00:00,2118,2022-12-20 00:00:00+00:00,169.36172301579668
2248,2023-01-10 16:00:00+00:00,up,2248,2023-01-10 16:00:00+00:00,2249,2023-01-10 20:00:00+00:00,108.619445098686
2265,2023-01-13 12:00:00+00:00,up,2265,2023-01-13 12:00:00+00:00,2266,2023-01-13 16:00:00+00:00,258.491169478301
2289,2023-01-17 12:00:00+00:00,up,2289,2023-01-17 12:00:00+00:00,2290,2023-01-17 16:00:00+00:00,395.40649206458704
2313,2023-01-21 12:00:00+00:00,up,2313,2023-01-21 12:00:00+00:00,2314,2023-01-21 16:00:00+00:00,400.8086630673387
2360,2023-01-29 08:00:00+00:00,up,2360,2023-01-29 08:00:00+00:00,2361,2023-01-29 12:00:00+00:00,306.1008798288649
2428,2023-02-09 16:00:00+00:00,down,2428,2023-02-09 16:00:00+00:00,2429,2023-02-09 20:00:00+00:00,312.24257658349416
2492,2023-02-20 08:00:00+00:00,up,2492,2023-02-20 08:00:00+00:00,2493,2023-02-20 12:00:00+00:00,431.1074411384819
2517,2023-02-24 12:00:00+00:00,up,2517,2023-02-24 12:00:00+00:00,2518,2023-02-24 16:00:00+00:00,428.70381282927224
2556,2023-03-03 00:00:00+00:00,down,2556,2023-03-03 00:00:00+00:00,2557,2023-03-03 04:00:00+00:00,397.40959301924767
2596,2023-03-09 16:00:00+00:00,down,2596,2023-03-09 16:00:00+00:00,2597,2023-03-09 20:00:00+00:00,299.7487367340723
2604,2023-03-11 00:00:00+00:00,down,2604,2023-03-11 00:00:00+00:00,2605,2023-03-11 04:00:00+00:00,399.8415023049366
2614,2023-03-12 16:00:00+00:00,down,2614,2023-03-12 16:00:00+00:00,2615,2023-03-12 20:00:00+00:00,386.1227306803713
2619,2023-03-13 12:00:00+00:00,up,2620,2023-03-13 16:00:00+00:00,2621,2023-03-13 20:00:00+00:00,637.2335464964367
2624,2023-03-14 08:00:00+00:00,up,2624,2023-03-14 08:00:00+00:00,2625,2023-03-14 12:00:00+00:00,627.4794674480614
2630,2023-03-15 08:00:00+00:00,up,2630,2023-03-15 08:00:00+00:00,2631,2023-03-15 12:00:00+00:00,788.6848482952352
2635,2023-03-16 04:00:00+00:00,up,2635,2023-03-16 04:00:00+00:00,2636,2023-03-16 08:00:00+00:00,709.9560441298323
2641,2023-03-17 04:00:00+00:00,up,2641,2023-03-17 04:00:00+00:00,2642,2023-03-17 08:00:00+00:00,687.7599353546185
2660,2023-03-20 08:00:00+00:00,up,2660,2023-03-20 08:00:00+00:00,2661,2023-03-20 12:00:00+00:00,709.2583634814786
2727,2023-03-31 12:00:00+00:00,up,2727,2023-03-31 12:00:00+00:00,2728,2023-03-31 16:00:00+00:00,519.889166689562
2788,2023-04-10 16:00:00+00:00,up,2788,2023-04-10 16:00:00+00:00,2789,2023-04-10 20:00:00+00:00,302.594877087314
2843,2023-04-19 20:00:00+00:00,down,2844,2023-04-20 00:00:00+00:00,2845,2023-04-20 04:00:00+00:00,433.3115016503236
2884,2023-04-26 16:00:00+00:00,down,2884,2023-04-26 16:00:00+00:00,2885,2023-04-26 20:00:00+00:00,590.724087833534
2890,2023-04-27 16:00:00+00:00,up,2890,2023-04-27 16:00:00+00:00,2891,2023-04-27 20:00:00+00:00,700.9647226298794
3130,2023-06-06 16:00:00+00:00,down,3130,2023-06-06 16:00:00+00:00,3131,2023-06-06 20:00:00+00:00,383.63024174535144
3214,2023-06-20 16:00:00+00:00,up,3214,2023-06-20 16:00:00+00:00,3215,2023-06-20 20:00:00+00:00,365.12821206811185
3217,2023-06-21 04:00:00+00:00,up,3217,2023-06-21 04:00:00+00:00,3218,2023-06-21 08:00:00+00:00,405.80498612013173
3266,2023-06-29 08:00:00+00:00,up,3266,2023-06-29 08:00:00+00:00,3267,2023-06-29 12:00:00+00:00,382.05583739143754
3291,2023-07-03 12:00:00+00:00,up,3291,2023-07-03 12:00:00+00:00,3292,2023-07-03 16:00:00+00:00,322.0465097208766
3308,2023-07-06 08:00:00+00:00,up,3308,2023-07-06 08:00:00+00:00,3309,2023-07-06 12:00:00+00:00,342.51303134293926
3507,2023-08-08 12:00:00+00:00,up,3508,2023-08-08 16:00:00+00:00,3509,2023-08-08 20:00:00+00:00,219.3380327503087
3563,2023-08-17 20:00:00+00:00,down,3563,2023-08-17 20:00:00+00:00,3564,2023-08-18 00:00:00+00:00,463.7098803818183
3593,2023-08-22 20:00:00+00:00,down,3593,2023-08-22 20:00:00+00:00,3594,2023-08-23 00:00:00+00:00,285.79686653014255
3598,2023-08-23 16:00:00+00:00,down,3598,2023-08-23 16:00:00+00:00,3599,2023-08-23 20:00:00+00:00,307.00719689819755
3714,2023-09-12 00:00:00+00:00,down,3714,2023-09-12 00:00:00+00:00,3715,2023-09-12 04:00:00+00:00,286.9292389497054
3729,2023-09-14 12:00:00+00:00,up,3729,2023-09-14 12:00:00+00:00,3730,2023-09-14 16:00:00+00:00,334.03343512887534
3752,2023-09-18 08:00:00+00:00,up,3752,2023-09-18 08:00:00+00:00,3753,2023-09-18 12:00:00+00:00,240.00298945625642
3807,2023-09-27 12:00:00+00:00,down,3807,2023-09-27 12:00:00+00:00,3808,2023-09-27 16:00:00+00:00,251.9431066119304
3813,2023-09-28 12:00:00+00:00,up,3814,2023-09-28 16:00:00+00:00,3815,2023-09-28 20:00:00+00:00,279.03219813062645
3835,2023-10-02 04:00:00+00:00,up,3835,2023-10-02 04:00:00+00:00,3836,2023-10-02 08:00:00+00:00,305.1979329374757
3939,2023-10-19 12:00:00+00:00,up,3939,2023-10-19 12:00:00+00:00,3940,2023-10-19 16:00:00+00:00,347.1744941770221
3960,2023-10-23 00:00:00+00:00,up,3960,2023-10-23 00:00:00+00:00,3961,2023-10-23 04:00:00+00:00,393.1403228113054
3975,2023-10-25 12:00:00+00:00,up,3975,2023-10-25 12:00:00+00:00,3976,2023-10-25 16:00:00+00:00,874.8582467080198
3998,2023-10-29 08:00:00+00:00,up,3998,2023-10-29 08:00:00+00:00,3999,2023-10-29 12:00:00+00:00,423.0600132173686
4052,2023-11-07 08:00:00+00:00,up,4052,2023-11-07 08:00:00+00:00,4053,2023-11-07 12:00:00+00:00,387.2345200039637
5226,2024-05-21 00:00:00+00:00,up,5226,2024-05-21 00:00:00+00:00,5227,2024-05-21 04:00:00+00:00,1051.0594600334562
5313,2024-06-04 12:00:00+00:00,up,5313,2024-06-04 12:00:00+00:00,5314,2024-06-04 16:00:00+00:00,819.3000798465401
5362,2024-06-12 16:00:00+00:00,down,5362,2024-06-12 16:00:00+00:00,5363,2024-06-12 20:00:00+00:00,967.0684761587955
5374,2024-06-14 16:00:00+00:00,down,5374,2024-06-14 16:00:00+00:00,5375,2024-06-14 20:00:00+00:00,954.7803017677033
5409,2024-06-20 12:00:00+00:00,down,5409,2024-06-20 12:00:00+00:00,5410,2024-06-20 16:00:00+00:00,827.2360732938522
5440,2024-06-25 16:00:00+00:00,down,5440,2024-06-25 16:00:00+00:00,5441,2024-06-25 20:00:00+00:00,973.7727043612931
6116,2024-10-16 08:00:00+00:00,up,6116,2024-10-16 08:00:00+00:00,6117,2024-10-16 12:00:00+00:00,1008.1625234406878
6129,2024-10-18 12:00:00+00:00,up,6129,2024-10-18 12:00:00+00:00,6130,2024-10-18 16:00:00+00:00,888.318530537466
