cp_bar,cp_time,cp_type,confirm_bar,confirm_time,entry_bar,entry_time,atr_entry
748,2022-05-05 16:00:00+00:00,down,748,2022-05-05 16:00:00+00:00,749,2022-05-05 20:00:00+00:00,891.5948530975506
772,2022-05-09 16:00:00+00:00,down,772,2022-05-09 16:00:00+00:00,773,2022-05-09 20:00:00+00:00,900.936822824052
786,2022-05-12 00:00:00+00:00,down,786,2022-05-12 00:00:00+00:00,787,2022-05-12 04:00:00+00:00,1455.9039093792837
978,2022-06-13 00:00:00+00:00,down,978,2022-06-13 00:00:00+00:00,979,2022-06-13 04:00:00+00:00,782.7474951762405
981,2022-06-13 12:00:00+00:00,down,981,2022-06-13 12:00:00+00:00,982,2022-06-13 16:00:00+00:00,956.6873713200439
1012,2022-06-18 16:00:00+00:00,down,1012,2022-06-18 16:00:00+00:00,1013,2022-06-18 20:00:00+00:00,869.4741502900936
1870,2022-11-08 16:00:00+00:00,down,1870,2022-11-08 16:00:00+00:00,1871,2022-11-08 20:00:00+00:00,575.5653445487583
1875,2022-11-09 12:00:00+00:00,down,1875,2022-11-09 12:00:00+00:00,1876,2022-11-09 16:00:00+00:00,648.932424870482
1877,2022-11-09 20:00:00+00:00,down,1877,2022-11-09 20:00:00+00:00,1878,2022-11-10 00:00:00+00:00,721.1713255260788
2260,2023-01-12 16:00:00+00:00,up,2260,2023-01-12 16:00:00+00:00,2261,2023-01-12 20:00:00+00:00,247.97260124348622
2268,2023-01-14 00:00:00+00:00,up,2268,2023-01-14 00:00:00+00:00,2269,2023-01-14 04:00:00+00:00,392.67394290955804
2309,2023-01-20 20:00:00+00:00,up,2309,2023-01-20 20:00:00+00:00,2310,2023-01-21 00:00:00+00:00,383.77786493452203
2464,2023-02-15 16:00:00+00:00,up,2465,2023-02-15 20:00:00+00:00,2466,2023-02-16 00:00:00+00:00,359.96270212357445
2465,2023-02-15 20:00:00+00:00,up,2465,2023-02-15 20:00:00+00:00,2466,2023-02-16 00:00:00+00:00,359.96270212357445
2556,2023-03-03 00:00:00+00:00,down,2556,2023-03-03 00:00:00+00:00,2557,2023-03-03 04:00:00+00:00,397.40959301924767
2597,2023-03-09 20:00:00+00:00,down,2597,2023-03-09 20:00:00+00:00,2598,2023-03-10 00:00:00+00:00,339.40239839592437
2619,2023-03-13 12:00:00+00:00,up,2620,2023-03-13 16:00:00+00:00,2621,2023-03-13 20:00:00+00:00,637.2335464964367
2625,2023-03-14 12:00:00+00:00,up,2625,2023-03-14 12:00:00+00:00,2626,2023-03-14 16:00:00+00:00,731.5809340589143
2642,2023-03-17 08:00:00+00:00,up,2642,2023-03-17 08:00:00+00:00,2643,2023-03-17 12:00:00+00:00,714.8842256864315
2884,2023-04-26 16:00:00+00:00,down,2884,2023-04-26 16:00:00+00:00,2885,2023-04-26 20:00:00+00:00,590.724087833534
3216,2023-06-21 00:00:00+00:00,up,3216,2023-06-21 00:00:00+00:00,3217,2023-06-21 04:00:00+00:00,411.52075428321876
3563,2023-08-17 20:00:00+00:00,down,3563,2023-08-17 20:00:00+00:00,3564,2023-08-18 00:00:00+00:00,463.7098803818183
3835,2023-10-02 04:00:00+00:00,up,3835,2023-10-02 04:00:00+00:00,3836,2023-10-02 08:00:00+00:00,305.1979329374757
3922,2023-10-16 16:00:00+00:00,up,3922,2023-10-16 16:00:00+00:00,3923,2023-10-16 20:00:00+00:00,463.98594069835247
3965,2023-10-23 20:00:00+00:00,up,3965,2023-10-23 20:00:00+00:00,3966,2023-10-24 00:00:00+00:00,768.9074687585124
4102,2023-11-15 16:00:00+00:00,up,4102,2023-11-15 16:00:00+00:00,4103,2023-11-15 20:00:00+00:00,610.2224075274105
4222,2023-12-05 16:00:00+00:00,up,4222,2023-12-05 16:00:00+00:00,4223,2023-12-05 20:00:00+00:00,676.466288189313
4386,2024-01-02 00:00:00+00:00,up,4386,2024-01-02 00:00:00+00:00,4387,2024-01-02 04:00:00+00:00,590.6589716829305
4426,2024-01-08 16:00:00+00:00,up,4426,2024-01-08 16:00:00+00:00,4427,2024-01-08 20:00:00+00:00,870.5384256587273
