cp_bar,cp_time,cp_type
748,2022-05-05 16:00:00+00:00,down
772,2022-05-09 16:00:00+00:00,down
786,2022-05-12 00:00:00+00:00,down
978,2022-06-13 00:00:00+00:00,down
981,2022-06-13 12:00:00+00:00,down
1012,2022-06-18 16:00:00+00:00,down
1018,2022-06-19 16:00:00+00:00,up
1534,2022-09-13 16:00:00+00:00,down
1870,2022-11-08 16:00:00+00:00,down
1875,2022-11-09 12:00:00+00:00,down
1877,2022-11-09 20:00:00+00:00,down
1881,2022-11-10 12:00:00+00:00,up
2260,2023-01-12 16:00:00+00:00,up
2268,2023-01-14 00:00:00+00:00,up
2309,2023-01-20 20:00:00+00:00,up
2464,2023-02-15 16:00:00+00:00,up
2465,2023-02-15 20:00:00+00:00,up
2471,2023-02-16 20:00:00+00:00,down
2556,2023-03-03 00:00:00+00:00,down
2597,2023-03-09 20:00:00+00:00,down
2615,2023-03-12 20:00:00+00:00,up
2619,2023-03-13 12:00:00+00:00,up
2625,2023-03-14 12:00:00+00:00,up
2642,2023-03-17 08:00:00+00:00,up
2674,2023-03-22 16:00:00+00:00,down
2884,2023-04-26 16:00:00+00:00,down
3216,2023-06-21 00:00:00+00:00,up
3563,2023-08-17 20:00:00+00:00,down
3633,2023-08-29 12:00:00+00:00,up
3647,2023-08-31 20:00:00+00:00,down
3835,2023-10-02 04:00:00+00:00,up
3922,2023-10-16 16:00:00+00:00,up
3965,2023-10-23 20:00:00+00:00,up
4102,2023-11-15 16:00:00+00:00,up
4222,2023-12-05 16:00:00+00:00,up
4258,2023-12-11 16:00:00+00:00,down
4386,2024-01-02 00:00:00+00:00,up
4396,2024-01-03 16:00:00+00:00,down
4426,2024-01-08 16:00:00+00:00,up
4450,2024-01-12 16:00:00+00:00,down
4720,2024-02-26 16:00:00+00:00,up
4731,2024-02-28 12:00:00+00:00,up
4763,2024-03-04 20:00:00+00:00,up
4768,2024-03-05 16:00:00+00:00,down
4771,2024-03-06 04:00:00+00:00,up
4850,2024-03-19 08:00:00+00:00,down
4859,2024-03-20 20:00:00+00:00,up
5003,2024-04-13 20:00:00+00:00,down
5107,2024-05-01 04:00:00+00:00,down
5497,2024-07-05 04:00:00+00:00,down
5682,2024-08-05 00:00:00+00:00,down
5685,2024-08-05 12:00:00+00:00,up
5703,2024-08-08 12:00:00+00:00,up
6240,2024-11-06 00:00:00+00:00,up
6274,2024-11-11 16:00:00+00:00,up
6414,2024-12-05 00:00:00+00:00,up
6506,2024-12-20 08:00:00+00:00,down
6909,2025-02-25 12:00:00+00:00,down
6925,2025-02-28 04:00:00+00:00,down
6940,2025-03-02 16:00:00+00:00,up
6946,2025-03-03 16:00:00+00:00,down
7153,2025-04-07 04:00:00+00:00,down
7168,2025-04-09 16:00:00+00:00,up
7723,2025-07-11 04:00:00+00:00,up
8272,2025-10-10 16:00:00+00:00,down
8275,2025-10-11 04:00:00+00:00,down
8311,2025-10-17 04:00:00+00:00,down
8337,2025-10-21 12:00:00+00:00,up
8339,2025-10-21 20:00:00+00:00,down
8422,2025-11-04 16:00:00+00:00,down
8480,2025-11-14 08:00:00+00:00,down
8518,2025-11-20 16:00:00+00:00,down
8580,2025-12-01 00:00:00+00:00,down
8589,2025-12-02 12:00:00+00:00,up
8950,2026-01-31 16:00:00+00:00,down
8979,2026-02-05 12:00:00+00:00,down
8981,2026-02-05 20:00:00+00:00,down
8985,2026-02-06 12:00:00+00:00,up
9100,2026-02-25 16:00:00+00:00,up
9141,2026-03-04 12:00:00+00:00,up
9681,2026-06-02 12:00:00+00:00,down
9692,2026-06-04 08:00:00+00:00,down
