symbol,cp_time,cp_type,entry_time,entry_price,direction,trade_dir,atr_entry,risk_distance,exit_time,exit_price,exit_reason,hold_bars,gross_R,net_R
BTCUSDT,2022-06-06 08:00:00+00:00,up,2022-06-06 12:00:00+00:00,31392.1,1,1,455.5968109704754,683.3952164557131,2022-06-07 00:00:00+00:00,30708.704783544286,atr_trail_or_sl,3,-0.9999999999999987,-1.0643096980220774
BTCUSDT,2022-06-07 20:00:00+00:00,up,2022-06-08 00:00:00+00:00,31118.0,1,1,684.9857472641116,1027.4786208961675,2022-06-08 04:00:00+00:00,30090.521379103833,atr_trail_or_sl,1,-0.9999999999999993,-1.0424001036264887
BTCUSDT,2022-06-15 16:00:00+00:00,down,2022-06-15 20:00:00+00:00,21616.8,-1,-1,1137.873468059642,1706.810202089463,2022-06-19 08:00:00+00:00,19910.02954463132,atr_trail_or_sl,21,0.9999767128643031,0.9822456728441816
BTCUSDT,2022-06-26 12:00:00+00:00,down,2022-06-26 16:00:00+00:00,21314.2,-1,-1,512.5879359970902,768.8819039956353,2022-06-30 20:00:00+00:00,19816.437389022572,atr_trail_or_sl,25,1.9479748491855917,1.909165404139569
BTCUSDT,2022-06-30 20:00:00+00:00,down,2022-07-01 00:00:00+00:00,19923.3,-1,-1,514.8641198873771,772.2961798310657,2022-07-04 08:00:00+00:00,19748.696229108584,atr_trail_or_sl,20,0.226083949980963,0.18996746937620163
BTCUSDT,2022-07-07 12:00:00+00:00,up,2022-07-07 16:00:00+00:00,20882.0,1,1,436.51054668635027,654.7658200295255,2022-07-08 08:00:00+00:00,21319.041699098114,atr_trail_or_sl,4,0.6674778764084025,0.6228286306693966
BTCUSDT,2022-07-12 16:00:00+00:00,down,2022-07-12 20:00:00+00:00,19383.7,-1,-1,428.93088184765566,643.3963227714835,2022-07-13 12:00:00+00:00,20027.096322771486,atr_trail_or_sl,4,-1.0000000000000022,-1.0421780153842126
BTCUSDT,2022-07-17 04:00:00+00:00,up,2022-07-17 08:00:00+00:00,21460.0,1,1,442.813527739917,664.2202916098755,2022-07-17 20:00:00+00:00,20795.779708390124,atr_trail_or_sl,3,-1.0000000000000004,-1.045231981587287
BTCUSDT,2022-07-18 04:00:00+00:00,up,2022-07-18 08:00:00+00:00,22243.3,1,1,503.0567089680934,754.58506345214,2022-07-18 16:00:00+00:00,21488.714936547858,atr_trail_or_sl,2,-1.0000000000000016,-1.0412685348654218
BTCUSDT,2022-07-19 12:00:00+00:00,up,2022-07-19 16:00:00+00:00,23117.1,1,1,697.4002883277444,1046.1004324916166,2022-07-21 08:00:00+00:00,22574.202482960787,atr_trail_or_sl,10,-0.5189726532720481,-0.5499103519812581
BTCUSDT,2022-07-25 20:00:00+00:00,down,2022-07-26 04:00:00+00:00,21130.2,-1,-1,510.609792383017,765.9146885745255,2022-07-27 16:00:00+00:00,21773.066763438233,atr_trail_or_sl,9,-0.8393451294617392,-0.8779685955491396
BTCUSDT,2022-07-30 12:00:00+00:00,up,2022-07-30 16:00:00+00:00,24522.8,1,1,521.8601318117802,782.7901977176703,2022-07-30 20:00:00+00:00,23740.00980228233,atr_trail_or_sl,1,-0.9999999999999994,-1.043858392836419
BTCUSDT,2022-08-03 08:00:00+00:00,up,2022-08-03 12:00:00+00:00,23391.0,1,1,446.7090691266941,670.0636036900412,2022-08-03 20:00:00+00:00,22720.93639630996,atr_trail_or_sl,2,-0.9999999999999977,-1.0488720769486037
BTCUSDT,2022-08-08 04:00:00+00:00,up,2022-08-08 08:00:00+00:00,23796.8,1,1,320.87654746090817,481.3148211913623,2022-08-09 08:00:00+00:00,23459.04695608958,atr_trail_or_sl,6,-0.7017299884395929,-0.7709477198145308
BTCUSDT,2022-08-11 04:00:00+00:00,up,2022-08-11 08:00:00+00:00,24429.4,1,1,433.5263659673184,650.2895489509776,2022-08-11 20:00:00+00:00,23875.250340715927,atr_trail_or_sl,3,-0.8521583349724859,-0.904752075799433
BTCUSDT,2022-08-31 00:00:00+00:00,down,2022-08-31 04:00:00+00:00,20392.7,-1,-1,376.2021204513638,564.3031806770457,2022-09-02 12:00:00+00:00,20423.28404673253,atr_trail_or_sl,14,-0.054197898895119376,-0.10479087972104037
BTCUSDT,2022-09-04 16:00:00+00:00,down,2022-09-04 20:00:00+00:00,19872.8,-1,-1,275.30184209597775,412.95276314396665,2022-09-07 20:00:00+00:00,19288.918424944328,atr_trail_or_sl,18,1.4139185571985489,1.3465454276711397
BTCUSDT,2022-09-07 20:00:00+00:00,down,2022-09-08 00:00:00+00:00,19287.0,-1,-1,328.7881914603913,493.182287190587,2022-09-09 00:00:00+00:00,19776.97676780971,atr_trail_or_sl,6,-0.9935003355470479,-1.048250477028843
BTCUSDT,2022-09-21 16:00:00+00:00,down,2022-09-21 20:00:00+00:00,18990.3,-1,-1,502.7980743920299,754.1971115880449,2022-09-22 16:00:00+00:00,19352.032520480447,atr_trail_or_sl,5,-0.4796259690239066,-0.5148772575683819
BTCUSDT,2022-09-23 20:00:00+00:00,down,2022-09-24 00:00:00+00:00,19280.7,-1,-1,476.1004659658079,714.1506989487119,2022-09-27 00:00:00+00:00,19436.360278528507,atr_trail_or_sl,18,-0.21796559011655575,-0.25576290662095164
BTCUSDT,2022-09-30 12:00:00+00:00,up,2022-09-30 16:00:00+00:00,19749.5,1,1,453.97705865159037,680.9655879773856,2022-10-02 08:00:00+00:00,19082.309277058906,atr_trail_or_sl,10,-0.9797715695484609,-1.0203746491873666
BTCUSDT,2022-10-04 04:00:00+00:00,up,2022-10-04 08:00:00+00:00,19957.0,1,1,296.7018870199325,445.05283052989876,2022-10-05 12:00:00+00:00,19743.358064368527,atr_trail_or_sl,7,-0.48003724721198066,-0.5428158615322933
BTCUSDT,2022-10-25 12:00:00+00:00,up,2022-10-25 16:00:00+00:00,19740.3,1,1,187.9831351811379,281.97470277170686,2022-10-27 20:00:00+00:00,20336.299234433962,atr_trail_or_sl,13,2.11366207172314,2.0156517902037545
BTCUSDT,2022-11-04 12:00:00+00:00,up,2022-11-04 16:00:00+00:00,20829.2,1,1,276.12824383237194,414.1923657485579,2022-11-06 20:00:00+00:00,20950.311310119094,atr_trail_or_sl,13,0.2924035306643379,0.22199933587118087
BTCUSDT,2022-11-08 16:00:00+00:00,down,2022-11-08 20:00:00+00:00,18238.0,-1,-1,575.5653445487583,863.3480168231374,2022-11-10 12:00:00+00:00,17265.528313815197,atr_trail_or_sl,10,1.1263959228900622,1.0968212907574089
