symbol,signal_time,entry_time,exit_time,direction,exit_reason,hold_bars,consec,prem_close_sig,ext_pct_sig,gross_R,net_R
SOLUSDT,2022-01-24 00:00:00+00:00,2022-01-24 04:00:00+00:00,2022-01-24 08:00:00+00:00,1,stop,1,4,-0.00071327,-0.32461125225957416,-1.0000000000000002,-1.0127085616462135
SOLUSDT,2022-01-24 04:00:00+00:00,2022-01-24 08:00:00+00:00,2022-01-24 20:00:00+00:00,1,premium_zerocross,3,4,-7.416e-05,-0.3636536095124164,0.5082718352076515,0.496242933264398
SOLUSDT,2022-01-28 04:00:00+00:00,2022-01-28 08:00:00+00:00,2022-02-02 08:00:00+00:00,1,time,30,4,-0.00034549,-0.2629586393186508,2.6518050209753024,2.6354132082835773
XRPUSDT,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,2022-01-31 00:00:00+00:00,1,stop,9,4,-0.00022006,-0.10445568778650136,-0.9999999999999992,-1.0369388900405692
BNBUSDT,2022-02-03 00:00:00+00:00,2022-02-03 04:00:00+00:00,2022-02-05 16:00:00+00:00,1,stop,15,4,-0.00054393,-0.09918980573778106,3.9050717848569194,3.8618413064313257
BNBUSDT,2022-02-03 08:00:00+00:00,2022-02-03 12:00:00+00:00,2022-02-05 16:00:00+00:00,1,stop,13,4,-0.00052457,-0.10236878793014928,4.072659392888838,4.029129407144681
BNBUSDT,2022-02-03 16:00:00+00:00,2022-02-03 20:00:00+00:00,2022-02-05 16:00:00+00:00,1,stop,11,4,-0.0006746,-0.10517812103038159,4.1788783773225235,4.135417307762229
SOLUSDT,2022-02-12 16:00:00+00:00,2022-02-12 20:00:00+00:00,2022-02-13 16:00:00+00:00,1,stop,5,4,-0.00038964,-0.11988562940110024,-1.000000000000001,-1.0243859284194456
SOLUSDT,2022-02-12 20:00:00+00:00,2022-02-13 00:00:00+00:00,2022-02-17 12:00:00+00:00,1,stop,27,4,-4.642e-05,-0.13076466982877516,0.20247346668796604,0.1783971857597093
SOLUSDT,2022-02-13 00:00:00+00:00,2022-02-13 04:00:00+00:00,2022-02-14 00:00:00+00:00,1,stop,5,5,-0.00055511,-0.11971108840823699,-1.0000000000000004,-1.0248213851950776
SOLUSDT,2022-02-13 04:00:00+00:00,2022-02-13 08:00:00+00:00,2022-02-14 00:00:00+00:00,1,stop,4,4,-0.00091523,-0.11631441620791416,-0.9999999999999991,-1.0260479714273258
DOGEUSDT,2022-02-24 08:00:00+00:00,2022-02-24 12:00:00+00:00,2022-02-27 12:00:00+00:00,1,premium_zerocross,18,4,-0.00041042,-0.20948205884434942,2.2399561381791053,2.217353102071988
DOGEUSDT,2022-02-24 12:00:00+00:00,2022-02-24 16:00:00+00:00,2022-02-27 12:00:00+00:00,1,premium_zerocross,17,4,-0.00099409,-0.16760406142473916,1.307948903514459,1.2853867164498343
DOGEUSDT,2022-03-06 12:00:00+00:00,2022-03-06 16:00:00+00:00,2022-03-07 00:00:00+00:00,1,stop,2,4,-0.00023075,-0.07444205436196862,-1.0000000000000009,-1.0431242314571847
DOGEUSDT,2022-03-06 16:00:00+00:00,2022-03-06 20:00:00+00:00,2022-03-07 16:00:00+00:00,1,stop,5,5,-8.2e-05,-0.08927085358860265,-0.9999999999999993,-1.041781923637236
DOGEUSDT,2022-03-06 20:00:00+00:00,2022-03-07 00:00:00+00:00,2022-03-07 16:00:00+00:00,1,stop,4,4,-0.00027343,-0.09258286965952596,-0.999999999999999,-1.0407678080785618
XRPUSDT,2022-04-08 16:00:00+00:00,2022-04-08 20:00:00+00:00,2022-04-11 00:00:00+00:00,1,stop,13,4,-0.00029188,-0.06697930295079463,-1.0000000000000016,-1.0420499676033361
XRPUSDT,2022-04-08 20:00:00+00:00,2022-04-09 00:00:00+00:00,2022-04-11 00:00:00+00:00,1,stop,12,4,-0.00035337,-0.07238811858586244,-0.8428582630052357,-0.884683742178473
XRPUSDT,2022-04-09 00:00:00+00:00,2022-04-09 04:00:00+00:00,2022-04-11 00:00:00+00:00,1,stop,11,4,-0.00050706,-0.05790290502509805,-1.0000000000000022,-1.043703674221761
XRPUSDT,2022-04-10 12:00:00+00:00,2022-04-10 16:00:00+00:00,2022-04-11 00:00:00+00:00,1,stop,2,4,-0.00028051,-0.05529137552229692,-0.7784141732111823,-0.8390369861281464
XRPUSDT,2022-04-27 08:00:00+00:00,2022-04-27 12:00:00+00:00,2022-04-29 08:00:00+00:00,1,stop,11,4,-3.642e-05,-0.12058011607374028,-0.999999999999999,-1.035629592375186
XRPUSDT,2022-04-27 12:00:00+00:00,2022-04-27 16:00:00+00:00,2022-04-29 08:00:00+00:00,1,stop,10,4,-0.00026304,-0.12017203260092056,-1.0000000000000022,-1.0356018885075702
ADAUSDT,2022-05-07 16:00:00+00:00,2022-05-07 20:00:00+00:00,2022-05-08 00:00:00+00:00,1,stop,1,4,-0.00024276,-0.08973120700804618,-0.9999999999999988,-1.0356110901506168
ADAUSDT,2022-05-07 20:00:00+00:00,2022-05-08 00:00:00+00:00,2022-05-08 16:00:00+00:00,1,stop,4,4,-0.00033793,-0.11033664849570964,-1.0,-1.0336520559186186
ADAUSDT,2022-05-16 16:00:00+00:00,2022-05-16 20:00:00+00:00,2022-05-18 12:00:00+00:00,1,stop,10,4,-0.00072344,-0.19706110130676632,-0.7034447165443121,-0.7189493767704809
ADAUSDT,2022-05-16 20:00:00+00:00,2022-05-17 00:00:00+00:00,2022-05-18 12:00:00+00:00,1,stop,9,4,-0.00046846,-0.19677248200457612,-0.685103281222073,-0.7010538613407915
ADAUSDT,2022-05-17 00:00:00+00:00,2022-05-17 04:00:00+00:00,2022-05-18 12:00:00+00:00,1,stop,8,4,-0.00058895,-0.164372709527346,-0.9005840076808383,-0.9174181853959819
ADAUSDT,2022-05-17 04:00:00+00:00,2022-05-17 08:00:00+00:00,2022-05-18 12:00:00+00:00,1,stop,7,4,-0.00094229,-0.15393104503886337,-1.0000000000000002,-1.0175938136394203
DOGEUSDT,2022-05-19 08:00:00+00:00,2022-05-19 12:00:00+00:00,2022-05-22 08:00:00+00:00,1,premium_zerocross,17,4,-0.00013173,-0.19504311765458013,0.05923221960387025,0.03208381519712368
DOGEUSDT,2022-05-28 16:00:00+00:00,2022-05-28 20:00:00+00:00,2022-06-01 16:00:00+00:00,1,stop,23,4,-0.00072545,-0.11346181413775867,0.38834070496572565,0.35968296375162834
DOGEUSDT,2022-05-28 20:00:00+00:00,2022-05-29 00:00:00+00:00,2022-06-01 16:00:00+00:00,1,stop,22,4,-0.00062722,-0.11226789640459456,0.445182094789014,0.4152321569231371
SOLUSDT,2022-06-02 04:00:00+00:00,2022-06-02 08:00:00+00:00,2022-06-03 12:00:00+00:00,1,stop,7,4,-0.00032539,-0.22555374971035588,-0.7473776090643138,-0.7696913012208211
SOLUSDT,2022-06-02 08:00:00+00:00,2022-06-02 12:00:00+00:00,2022-06-03 08:00:00+00:00,1,stop,5,4,-0.0009332,-0.1989901456651121,-1.0000000000000009,-1.0230520548599116
